N S BAAZAR
Phone No: 7002445877


Stock Summary Report
Dated: 09/11/2018 - 15/04/2027
Total Stock Value: 3528266679.44
Total Stock Quantity: 40230384.78569999 PCS


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP,SALES PRICE WITH TAX
1TIME RED DISH PACKET 20 NUMBERS,,"",20.0,25.0,72.0 PCS,1440.0,"",30.0,""
1TIME TEA CUP 50ML 50N,,8908016255068,10.5,15.0,23.0 PCS,241.5,"",20.0,""
1TIME TEA CUP 50ML 50N,,"",10.5,15.0,138.0 PCS,1449.0,"",20.0,""
1TIME WHITE DISH 25 N,,"",30.0,38.0,4.0 PCS,120.0,"",50.0,""
1time doi baati,,"",53.0,60.0,67.0 PCS,3551.0,"",80.0,""
1time spoon big,,"",25.0,35.0,10.0 PCS,250.0,"",35.0,""
1time spoon small,,"",17.0,20.0,8.0 PCS,136.0,"",25.0,""
20-20 135 GM,,8901719128295,15.31,17.8,53.0 PCS,852.0,"",20.0,""
20-20 BUTTER CLASSIC 35 GM,,8901719121647,3.85,5.0,312.0 PCS,1261.26,"",5.0,""
20-20 CASHEW BUTTER 32 GM,,8901719121630,3.85,5.0,148.0 PCS,598.29,"",5.0,""
20-20 NICE 68.75 GM,,8901719119385,7.79,9.0,169.0 PCS,1382.34,"",10.0,""
24/6 PIN,,"",15.0,20.0,20.0 PCS,300.0,"",0.0,""
24SHADES W COLOUR CAKE CAMEL,,8901425025949,54.0,60.0,4.0 PCS,216.0,"",70.0,""
28SHADES P CRAYONS CAMEL,,8901425106785,73.5,80.0,6.0 PCS,441.0,"",100.0,""
2TIMES DONUT CAKE 48 GM,,8908023627032,17.0,20.0,57.0 PCS,969.0,"",20.0,""
50-50 CLASSIC,,8901063016873,8.5,10.0,2.0 PCS,17.0,"",10.0,""
50-50 GOL MAAL 185 GM,,8901063367166,23.02,26.0,9.0 PCS,207.18,"",27.0,""
50-50 GOLMAAL 185 GM,,8901063367364,25.58,28.0,23.0 PCS,617.76,"",30.0,""
50-50 GOLMAL BUTTER 224.6 GM,,8901063367388,25.58,29.0,-3.0 PCS,-76.74,"",30.0,""
5050 MASKA CHASKA 40.5 GM,,8901063367258,7.81,9.0,2.0 PCS,15.62,"",9.0,""
5STAR 18GM,,7622202318078,9.0,10.0,13.0 PCS,117.0,"",10.0,""
5STAR 1N,,7622202818431,4.33,5.0,110.0 PCS,476.3,"",5.0,""
5STAR OREO 21GM,,7622202320361,17.01,20.0,11.0 PCS,187.11,"",20.0,""
7UP 2.25 LTR,,8902080304349,90.0,100.0,10.0 PCS,900.0,"",100.0,""
7UP EXTRA FIZZ 400 ML,,8902080002283,18.0,20.0,20.0 PCS,360.0,"",20.0,""
7UP REFRESHER 750 ML,,8902080304059,35.83,40.0,9.0 PCS,322.47,"",40.0,""
9AM HAKKA NODDLES 150 GM,,8906071453429,24.77,30.0,0.0 PCS,0.0,"",60.0,""
A4 60/- PI SAATHI 1097,,"",36.0,50.0,12.0 PCS,432.0,"",60.0,""
A4 60/- RI SAATHI 1003,,"",36.0,50.0,17.0 PCS,612.0,"",60.0,""
AALTA 50 GM,,"",15.0,30.0,11.0 PCS,165.0,"",35.0,""
AALU LOOSE 1 KG,,"",14.5,18.0,5185.155 PCS,75184.75,"",30.0,""
AALU NEW 1 KG,,"",13.0,20.0,235.0 PCS,3055.0,"",30.0,""
AALU NEW 1 KG,,"",13.0,20.0,236.0 PCS,3068.0,UNILEAVER,30.0,""
AAMSOTTO 1 KG,,"",170.0,190.0,998.0 PCS,169660.0,AMAZON DELIVERY,240.0,""
AAMSOTTO 1 KG,,"",162.0,190.0,18.0 PCS,2916.0,"",240.0,""
AASHIRVAD ATA 2 KG,,22202225499,103.33,108.0,-3.0 PCS,-309.99,"",117.0,""
AASHIRVAD ATA 2 KG,,8901725121136,103.33,108.0,-13.0 PCS,-1343.29,"",119.0,""
AASHIRVAD ATA 2 KG,,22202252518,103.33,109.0,16.0 PCS,1653.28,"",117.0,""
AASTA DHONIA LOOSE 1 KG,,"",170.0,180.0,8.9 PCS,1513.0,"",200.0,""
AASTA JEERA LOOSE 1 KG,,"",290.0,360.0,17748.8 PCS,5147152.0,UNILEAVER,700.0,""
AASTA KALAI 1 KG 1 KG,,1234565858,107.0,120.0,0.0 PCS,0.0,"",140.0,""
AASTA KALAI 1N,,"",107.0,120.0,244.0 PCS,26108.0,UNILEAVER,140.0,""
AASTA KALAI 1N,,"",107.0,120.0,-4.56 PCS,-487.92,"",140.0,""
AASTA LALAI 500GM 500GM,,No.12347890,54.0,60.0,9.0 PCS,486.0,"",70.0,""
AASTA MOONG 1 KG,,"",102.0,120.0,104.58 PCS,10667.16,"",140.0,""
AASTA MOONG 1KG 1KG,,No.123456776,110.0,120.0,-1.75 PCS,-192.5,"",140.0,""
AASTA MOONG 500G,,No.12346776,50.0,60.0,-5.0 PCS,-250.0,"",70.0,""
ABEST DRINKS,,"",65.0,80.0,18.0 PCS,1170.0,"",100.0,""
ACT 2 BUTTER POPCORN 50 GM,,8901512562807,22.22,25.0,2.0 PCS,44.44,"",25.0,""
ACT 2 MAGIC BUTTER 35 GM,,8901512540805,8.0,10.0,555.0 PCS,4440.0,"",10.0,""
ACT 2 POPCORN 35 GM,,"",8.0,10.0,0.0 PCS,0.0,"",10.0,""
ACT 2 SWEET & SALTY POPCORN 48.5 GM,,8901512560407,22.22,25.0,13.0 PCS,288.86,"",25.0,""
ACT2 GOLDEN 35,,"",8.0,10.0,0.0 PCS,0.0,"",10.0,""
AD SINGLE PIECE,,"",7.0,10.0,41.0 PCS,287.0,"",10.0,""
AD SOAP 1 N,,"",53.0,60.0,-32.0 PCS,-1696.0,"",70.0,""
ADRENALINE RUSH ENERGY DRINK 300 ML,,8902080100361,48.33,55.0,10.0 PCS,483.3,"",60.0,""
AER CLICK GEL 10 GM,,8901157045024,197.51,279.0,2.0 PCS,395.02,"",320.0,""
AER POWER POCKET 1N,,8901023025181,46.47,60.0,1.0 PCS,46.47,"",65.0,""
AFTER SHAVE LOTION 50 ML,,4987176295026,112.74,139.0,1.0 PCS,112.74,"",149.0,""
AGRU 1 PCS,,8901337316807,37.2,45.0,-19.0 PCS,-706.8,"",45.0,""
AIM 10N,,8901725097257,7.35,10.0,0.0 PCS,0.0,"",10.0,""
AIM 10N,,"",8.0,10.0,-1.0 PCS,-8.0,"",10.0,""
AJANTA PANEER 200 GM,,750343886846,57.5,63.0,9.0 PCS,517.5,"",76.0,""
AJANTA PANEER 450 GM,,750343886853,105.0,109.0,-14.0 PCS,-1470.0,"",145.0,""
AJANTA PANEER 850 GM,,750343886860,172.0,179.0,13.0 PCS,2236.0,"",240.0,""
AJINOMOTO LOOSE 1 KG,,"",130.0,150.0,0.0 PCS,0.0,AMAZON DELIVERY,200.0,""
AJINOMOTO LOOSE 1 KG,,"",130.0,150.0,0.0 PCS,0.0,"",200.0,""
AJMAL INDIAN ARTISAN 150 ML,,8906066315749,104.87,179.0,1.0 PCS,104.87,"",225.0,""
AJMAL NIGHTINGALE 200 ML,,8906066314018,110.23,209.0,1.0 PCS,110.23,"",299.0,""
AJMAL PARFUM DEODORANT 200 ML,,8906066314094,127.13,249.0,4.0 PCS,508.52,"",399.0,""
AJMAL PERSUADE 200 ML,,8906066314049,110.23,209.0,3.0 PCS,330.69,"",299.0,""
AJMAL SACRED LOVE 200 ML,,8906066314193,127.13,249.0,1.0 PCS,127.13,"",399.0,""
AJWAIN LOOSE 1 KG,,"",220.0,400.0,1450.0 PCS,319000.0,AMAZON DELIVERY,800.0,""
AJWAIN LOOSE 1 KG,,"",220.0,400.0,1.675 PCS,368.5,"",800.0,""
AL AZA 400GM,,8906021910354,128.0,149.0,0.0 PCS,0.0,"",252.0,""
ALIFE SOAP SET 500 GM,,8906008811520,90.0,99.0,48.0 PCS,4320.0,"",111.0,""
ALIFE SOOTHING SANDALWOOD 100 GM,,8906008811544,85.0,99.0,7.0 PCS,595.0,"",111.0,""
ALL IN ONE 170 GM,,820294212381,48.0,55.0,2.0 PCS,96.0,"",63.0,""
ALL IN ONE 200G 200 GM,,8904063200020,46.4,56.0,2.0 PCS,92.8,"",57.0,""
ALL IN ONE COFFEE,,8901052008155,8.5,10.0,184.0 PCS,1564.0,"",10.0,""
ALL IN ONE SURF 1KG,,"",90.0,99.0,0.0 PCS,0.0,"",0.0,""
ALL IN ONE SURF 500 GM,,8904132980501,40.0,48.0,22.0 PCS,880.0,"",50.0,""
ALL IN ONE SURF 5KG,,"",400.0,460.0,-1.0 PCS,-400.0,"",600.0,""
ALL IN ONE. 70 GM,,8904063219527,14.58,19.0,0.0 PCS,0.0,"",20.0,""
ALL OUT,,8906006430419,65.48,80.0,-5.0 PCS,-327.4,"",85.0,""
ALL OUT ULTRA 45 ML,,8906006435773,80.89,100.0,12.0 PCS,970.68,"",105.0,""
ALL OUT ULTRA FLORAL 45 ML,,8904271200232,65.48,75.0,38.0 PCS,2488.24,"",80.0,""
ALLROUNDER PEN 10/-,,"",7.3,10.0,3.0 PCS,21.9,"",10.0,""
ALMOND LOOSE 1 KG,,"",820.0,950.0,1.417 PCS,1161.94,"",1000.0,""
ALMOND LOOSE 1 KG,,"",820.0,950.0,2170.0 PCS,1779400.0,AMAZON DELIVERY,1000.0,""
ALO AMLA HAIR OIL 140 ML,,8906014767125,32.2,43.0,0.0 PCS,0.0,"",45.0,""
ALO AMLA HAIR OIL 300,,8906014767149,69.49,89.0,0.0 PCS,0.0,"",95.0,""
ALO AMLA HAIR OIL 500 ML,,8906014767156,113.56,149.0,0.0 PCS,0.0,"",155.0,""
ALOE FACE WASH 100 GM,,8906145192957,70.0,89.0,5.0 PCS,350.0,"",119.0,""
ALOE VERA FACE WASH 100 ML,,8906087778455,175.54,209.0,6.0 PCS,1053.24,"",269.0,""
ALOE VERA FACE WASH 100 ML,,8901138011062,145.6,185.0,2.0 PCS,291.2,"",189.0,""
ALOE VERA FACIAL WIPES 10 WIPES,,8901138835156,36.44,50.0,0.0 PCS,0.0,"",50.0,""
ALOO BHUJIA 205G 205 GM,,8904063218124,45.0,50.0,0.0 PCS,0.0,"",52.0,""
ALOO BHUJIA. 170 GM,,820294212305,48.0,55.0,1.0 PCS,48.0,"",63.0,""
ALOO PARATHA 500 GM,,8901262301114,106.17,120.0,9.0 PCS,955.53,"",125.0,""
ALOO SABJI 50G 50 GM,,8901786830503,35.24,39.0,8.0 PCS,281.92,"",44.0,""
ALOVERA FACE WASH 100 ML,,8901138505530,130.97,163.0,3.0 PCS,392.91,"",170.0,""
ALOVERA FACE WASH. 50 ML,,8901138011055,70.34,89.0,0.0 PCS,0.0,"",95.0,""
ALPENLIEBE JAR 210 PC,,8901393017779,180.0,190.0,6.0 PCS,1080.0,"",210.0,""
ALPENLIEBE JUST JELLY 1 JAR,,"",185.0,210.0,2.0 PCS,370.0,"",225.0,""
AMBI PUR AIR LINEN & SKY 275 ML,,4987176236395,211.16,250.0,0.0 PCS,0.0,"",299.0,""
AMBI PUR CAR AQUA 7.5 ML,,4987176198730,175.84,230.0,1.0 PCS,175.84,"",249.0,""
AMBI PUR CAR FRESH LEMON 75 GM,,4987176244437,246.47,280.0,4.0 PCS,985.88,"",349.0,""
AMBI PUR CAR FRESH ROSE 75 GM,,4987176244444,246.47,280.0,1.0 PCS,246.47,"",349.0,""
AMBI PUR ROOM FRESH 180GM,,4987176304629,246.47,319.0,1.0 PCS,246.47,"",349.0,""
AMBI PUR ROOM FRESH 180GM,,4987176304643,246.47,319.0,0.0 PCS,0.0,"",349.0,""
AMBIPUR AIR EXOTIC JASMINE 275 ML,,4987176236371,211.16,250.0,0.0 PCS,0.0,"",299.0,""
AMBIPUR AIR LAVENDAR BOUQUET 275 ML,,4987176236340,211.16,269.0,1.0 PCS,211.16,"",299.0,""
AMBIPUR AIR ROSE & BLOSSOMS 275 ML,,4987176236326,211.16,250.0,0.0 PCS,0.0,"",299.0,""
AMBIPUR AIR SAMDALWOOD 275 ML,,4987176236364,211.16,250.0,1.0 PCS,211.16,"",299.0,""
AMBIPUR AIR SWEET BARRIES 275 ML,,4987176236333,211.16,269.0,8.0 PCS,1689.28,"",299.0,""
AMBIPUR CAR EXOTIC JASMINE 1 N,,4987176162069,246.47,280.0,1.0 PCS,246.47,"",349.0,""
AMBIPUR CAR EXOTIC JASMINE 7.5 ML,,4987176198747,175.84,230.0,0.0 PCS,0.0,"",249.0,""
AMBIPUR CAR LAVENDER SPA 1 N,,4987176162014,246.47,280.0,1.0 PCS,246.47,"",349.0,""
AMBIPUR CAR SWEET CITRUS ZEST 1 N,,4987176162045,246.47,280.0,2.0 PCS,492.94,"",349.0,""
AMCHUR 50G 50 GM,,8901786270507,40.1,45.0,59.0 PCS,2365.9,"",50.0,""
AMERICANA COCONUT COOKIES 507 GM,,"",84.75,99.0,0.0 PCS,0.0,"",125.0,""
AMERICANA FLICK COCONUT 50 GM,,8904022918362,8.13,9.0,38.0 PCS,308.94,"",9.0,""
AMUL ATTA 1 KG,,8901262221771,43.5,48.0,1.0 PCS,43.5,"",50.0,""
AMUL ATTA 10 KG,,8901262222334,390.5,439.0,0.0 PCS,0.0,"",470.0,""
AMUL ATTA 5 KG,,8901262221917,205.0,210.0,4.0 PCS,820.0,"",240.0,""
AMUL BASMATI RICE 1KG,,8901262222747,138.0,169.0,0.0 PCS,0.0,"",180.0,""
AMUL BASUDI. 200 NL,,8901262150897,45.0,50.0,11.0 PCS,495.0,"",50.0,""
AMUL BUTTER 100 100 GM,,8901262010016,54.17,57.0,4.0 PCS,216.68,"",58.0,""
AMUL BUTTER 200,,8901262010320,109.38,115.0,50.0 PCS,5469.0,"",118.0,""
AMUL BUTTER 50 GM,,8901262010337,28.0,30.0,0.0 PCS,0.0,"",32.0,""
AMUL BUTTER 50 GM,,8901262010726,32.5,35.0,28.0 PCS,910.0,"",35.0,""
AMUL BUTTER COOKIES 200 GM,,8901262220347,63.0,80.0,0.0 PCS,0.0,"",85.0,""
AMUL BUTTER TIN 400 GM,,8901262010368,235.0,250.0,5.0 PCS,1175.0,"",255.0,""
AMUL CHANA DAL 500 GM,,8901262222730,70.0,80.0,0.0 PCS,0.0,"",88.0,""
AMUL CHEESE 10N,,"",130.0,139.0,0.0 PCS,0.0,"",139.0,""
AMUL CHEESE 10N,,"",120.0,125.0,8.0 PCS,960.0,"",130.0,""
AMUL CHEESE CUBE 200GM,,"",120.0,130.0,28.0 PCS,3360.0,"",139.0,""
AMUL CHEESE POPPONS 300 GM,,8901262178761,160.0,170.0,1.0 PCS,160.0,"",185.0,""
AMUL CHEESE SLICE 200 GM,,8901262020015,130.0,135.0,6.0 PCS,780.0,"",140.0,""
AMUL CHEESE SPREAD 200GM,,8901262060011,104.16,110.0,0.0 PCS,0.0,"",114.0,""
AMUL CHEESE SPREAD GARLIC 200GM,,8901262060028,100.0,108.0,0.0 PCS,0.0,"",110.0,""
AMUL CHEESE SPREAD JEERA 200GM,,8901262060073,100.0,108.0,2.0 PCS,200.0,"",110.0,""
AMUL CHOCO BUTTERY SPREAD 200GM,,8901262010382,115.0,125.0,0.0 PCS,0.0,"",130.0,""
AMUL CHOCO ICE 50 GM,,8901262175876,31.0,35.0,2.0 PCS,62.0,"",35.0,""
AMUL CHOCOBAR,,8901262300308,8.5,10.0,43.0 PCS,365.5,"",10.0,""
AMUL CHOCOMINIS 250 GM,,8901262070546,120.0,130.0,3.0 PCS,360.0,"",130.0,""
AMUL COW GHEE 1 LTR,,8901262030243,600.0,620.0,0.0 PCS,0.0,"",645.0,""
AMUL COW GHEE 1N,,8901262030717,9.0,10.0,4.0 PCS,36.0,"",10.0,""
AMUL COW GHEE 200 ML,,8901262030564,130.0,140.0,0.0 PCS,0.0,"",145.0,""
AMUL COW MILK 1 LTR,,8901262152983,71.25,77.0,2.0 PCS,142.5,"",78.0,""
AMUL DRY FRUIT BURFI 200 GM,,8901262222969,196.67,209.0,0.0 PCS,0.0,"",240.0,""
AMUL FAMILY PACK,,8901262173483,219.0,230.0,2.0 PCS,438.0,"",230.0,""
AMUL FAMILY PACK,,"",250.0,260.0,9.0 PCS,2250.0,"",260.0,""
AMUL FAMILY PACK ICECREAM 553 GM,,8901262174244,190.0,200.0,2.0 PCS,380.0,"",210.0,""
AMUL FRENCH FRIES,,[M]8901262178792,38.0,40.0,13.0 PCS,494.0,"",42.0,""
AMUL FRENCH FRIS 400 GM,,"",72.5,80.0,1.0 PCS,72.5,"",85.0,""
AMUL FRESH CREAM 1 LITAR,,8901262150118,212.5,220.0,10.0 PCS,2125.0,"",230.0,""
AMUL FRESH CREAM 250 ML,,"",65.0,69.0,46.0 PCS,2990.0,"",70.0,""
AMUL FRESH CREAM 250 ML,,8901262151863,65.0,69.0,-7.0 PCS,-455.0,"",70.0,""
AMUL FRESH PANEER 200 GM,,8901262180115,87.0,95.0,18.0 PCS,1566.0,"",97.0,""
AMUL GHEE 1KG 1 KG,,8901262030151,610.0,645.0,0.0 PCS,0.0,"",660.0,""
AMUL GHEE 500 ML,,8901262030021,310.0,323.0,0.0 PCS,0.0,"",340.0,""
AMUL GHEE KHAKHRA 200 GM,,8901262223393,70.0,90.0,0.0 PCS,0.0,"",100.0,""
AMUL GINGER TEA MIX 140,,8901262223577,100.0,120.0,0.0 PCS,0.0,"",150.0,""
AMUL GOLD 1LTR 1 LTR,,8901262150989,75.42,79.0,2.0 PCS,150.84,"",80.0,""
AMUL GOLD 200 ML,,8901262150095,16.0,17.0,-31.0 PCS,-496.0,"",18.0,""
AMUL GOLD 500 ML,,8901262150200,39.38,40.95,144.0 PCS,5670.72,"",42.0,""
AMUL HASH BROWN 11 PCS,,8901262178846,70.4,80.0,11.0 PCS,774.4,"",80.0,""
AMUL HIGH AROMA COW GHEE 100 ML,,8901262030809,70.0,79.0,2.0 PCS,140.0,"",85.0,""
AMUL ICE CREAM,,"",40.0,45.0,24.0 PCS,960.0,"",45.0,""
AMUL ICE CREAM,,"",35.0,40.0,9.0 PCS,315.0,"",40.0,""
AMUL ICE CREAM,,"",25.0,30.0,-17.0 PCS,-425.0,"",30.0,""
AMUL ICE CREAM,,8901262301060,17.0,20.0,-15.0 PCS,-255.0,"",20.0,""
AMUL ICE CREAM 10/-,,"",8.5,10.0,17.0 PCS,144.5,"",10.0,""
AMUL ICE CREAM 1N,,"",12.0,15.0,0.0 PCS,0.0,"",15.0,""
AMUL ICE CREAM 25/-,,"",20.0,25.0,9.0 PCS,180.0,"",25.0,""
AMUL ICE CREAM 300 GM,,"",200.0,225.0,0.0 PCS,0.0,"",235.0,""
AMUL ICE CREAM 300 GM,,"",180.0,200.0,5.0 PCS,900.0,"",210.0,""
AMUL ICE CREAM 500GM,,"",265.0,270.0,0.0 PCS,0.0,"",270.0,""
AMUL ICE CRIME 50 GM,,"",17.5,20.0,8.0 PCS,140.0,"",20.0,""
AMUL ICECREAM,,"",55.0,60.0,16.0 PCS,880.0,"",65.0,""
AMUL ICECREAM 10/-,,"",8.5,10.0,-9.0 PCS,-76.5,"",10.0,""
AMUL INSTANT COFFEE MIX 500 GM,,"",150.0,180.0,3.0 PCS,450.0,"",500.0,""
AMUL KABULI CHANA 500 GM,,8901262222792,115.0,125.0,0.0 PCS,0.0,"",130.0,""
AMUL KAJU KATRI 200 GM,,8901262220385,210.0,220.0,1.0 PCS,210.0,"",230.0,""
AMUL KESAR KAJU KATRI 200 GM,,8901262220941,222.67,240.0,0.0 PCS,0.0,"",250.0,""
AMUL KHEER 180 GM,,8901262202053,39.0,44.0,13.0 PCS,507.0,"",45.0,""
AMUL KHEER 450 GM,,8901262202060,86.0,100.0,1.0 PCS,86.0,"",105.0,""
AMUL KOOL 180 ML,,8901262152341,22.0,30.0,5.0 PCS,110.0,"",30.0,""
AMUL KOOL PREMIUM KESAR 150 ML,,8901262150699,21.04,25.0,141.0 PCS,2966.64,"",25.0,""
AMUL MALAI PANEER 1 KG,,8901262180047,395.0,420.0,-13.0 PCS,-5135.0,"",440.0,""
AMUL MALAI PANEER 425 GM,,8901262180085,112.22,125.0,0.0 PCS,0.0,"",130.0,""
AMUL MALAI PANEER 800 GM,,8901262180092,212.5,230.0,0.0 PCS,0.0,"",244.0,""
AMUL MASALA PANEER NUGGETS,,8901262178747,140.8,150.0,10.0 PCS,1408.0,"",160.0,""
AMUL MASOOR DAL 500 GM,,8901262222860,70.0,79.0,0.0 PCS,0.0,"",85.0,""
AMUL MILK CHOCOLATE 35GM,,8901262072625,47.0,60.0,0.0 PCS,0.0,"",60.0,""
AMUL MILK SHAKE 200 ML,,8901262152112,25.33,30.0,4.0 PCS,101.32,"",30.0,""
AMUL MILLETELO COOKIES 200 GM,,8901262223140,77.0,99.0,1.0 PCS,77.0,"",120.0,""
AMUL MITHAI MATE 200 GM,,8901262120005,58.33,62.0,35.0 PCS,2041.55,"",64.0,""
AMUL MITHAI MATE 400 GM,,8901262120029,112.08,118.0,69.0 PCS,7733.52,"",122.0,""
AMUL MOONG DAL 500 GM,,8901262222839,85.0,99.0,-1.0 PCS,-85.0,"",110.0,""
AMUL ONION PARATHA,,8901262178730,176.0,190.0,3.0 PCS,528.0,"",200.0,""
AMUL ORGANIC GINGER POWDER 100 GM,,8901262223232,55.0,60.0,11.0 PCS,605.0,"",80.0,""
AMUL ORGANIC SUGAR 1 KG,,8901262223621,65.0,70.0,0.0 PCS,0.0,"",80.0,""
AMUL ORGANIC TURMERIC POWDER 100 GM,,8901262223225,37.0,45.0,2.0 PCS,74.0,"",50.0,""
AMUL PANER DRY 200GM PAKT 200GM,,8901262180016,86.0,92.0,-6.0 PCS,-516.0,"",95.0,""
AMUL PEANUT BUTTER 300 GM,,8901262010511,95.0,109.0,0.0 PCS,0.0,"",120.0,""
AMUL PRO CHOCOLATE POWDER 500 GM,,8901262130325,125.0,155.0,3.0 PCS,375.0,"",180.0,""
AMUL PURE GHEE 1 LTR,,8901262030700,580.0,600.0,0.0 PCS,0.0,"",610.0,""
AMUL RAISIN N ALMOND 150GM,,8901262071734,185.0,250.0,1.0 PCS,185.0,"",250.0,""
AMUL RED RAJMA 500 GM,,8901262223102,83.0,92.0,0.0 PCS,0.0,"",110.0,""
AMUL SPRAY 1 KG,,8901262080101,435.0,450.0,6.0 PCS,2610.0,"",475.0,""
AMUL TAAZA 1 LTR 1 LTR,,8901262150064,70.42,74.0,15.0 PCS,1056.3,"",75.0,""
AMUL TAAZA 200 ML,,8901262153577,15.0,15.0,14.0 PCS,210.0,"",15.5,""
AMUL TAAZA 500 ML,,"",36.88,38.0,0.0 PCS,0.0,"",40.0,""
AMUL TAAZA 500 ML 500 ML,,8901262150217,36.46,38.0,282.0 PCS,10281.72,"",39.0,""
AMUL TAZA 200 ML PAUCH 200 ML,,8901262150088,14.67,16.0,502.0 PCS,7364.34,"",16.5,""
AMUL TEA MIX 140 GM,,8901262223584,100.0,120.0,0.0 PCS,0.0,"",150.0,""
AMUL TOOR DAL 500 GM,,8901262222723,88.0,102.0,0.0 PCS,0.0,"",130.0,""
AMUL WHIPPING CREAM 1 LTR,,8901262150125,278.33,289.0,2.0 PCS,556.66,"",300.0,""
AMUL WHIPPING CREAM 250 ML,,8901262151627,80.0,89.0,0.0 PCS,0.0,"",90.0,""
AMUL WHOLE GREEN MOONG 500 GM,,8901262223478,76.0,89.0,0.0 PCS,0.0,"",100.0,""
AMULCHEESESAUCE(G.CHUTNEY) 200 GM,,8901262020640,87.0,95.0,0.0 PCS,0.0,"",100.0,""
AMULCHEESESAUCE(JALAPENO) 200 GM,,8901262020657,87.0,95.0,1.0 PCS,87.0,"",100.0,""
AMULSPRAY POUCH 100 GM,,8901262090308,45.5,49.0,49.0 PCS,2229.5,"",50.0,""
AMULSPRAY POUCH 200 GM,,8901262080118,91.33,97.0,45.0 PCS,4109.85,"",99.0,""
AMULSPRAY POUCH 500 GM,,8901262080057,226.25,236.0,0.0 PCS,0.0,"",245.0,""
AMULVELVETT MILK CHOCOLATE 150GM,,8901262072601,170.0,220.0,3.0 PCS,510.0,"",220.0,""
AMULYA POUCH 1 KG,,8901262090315,441.67,450.0,49.0 PCS,21641.83,"",475.0,""
AMULYA POUCH 500 GM,,8901262090322,227.92,236.0,17.0 PCS,3874.64,"",245.0,""
AMULYA TIN 500 500 GM,,8901262090032,222.0,235.0,0.0 PCS,0.0,"",243.0,""
ANANDA PANEER 200 GM,,8904124116598,50.0,59.0,38.0 PCS,1900.0,"",70.0,""
ANANDA PANEER 400 GM,,8904124114013,90.0,99.0,18.0 PCS,1620.0,"",140.0,""
ANANDA PANEER 800 GM,,8904124114051,150.0,160.0,6.0 PCS,900.0,"",235.0,""
